X,Y,Z,C
-74.0,0.75,2.0,0.46
-74.0,1.25,0.0,0.46
-74.0,1.25,0.5,0.46
-74.0,1.25,1.0,0.46
-74.0,1.25,1.5,0.46
-74.0,1.25,2.0,0.46
-74.0,1.75,0.0,0.46
-74.0,1.75,0.5,0.46
-74.0,1.75,1.0,0.46
-74.0,1.75,1.5,0.46
-74.0,1.75,2.0,0.46
-74.0,2.25,0.0,0.46
-74.0,2.25,0.5,0.46
-74.0,2.25,1.0,0.46
-74.0,2.25,1.5,0.46
-74.0,2.25,2.0,0.46
-74.0,2.75,0.0,0.46
-74.0,2.75,0.5,0.46
-74.0,2.75,1.0,0.46
-74.0,2.75,1.5,0.46
-74.0,2.75,2.0,0.46
-74.0,3.25,0.0,0.46
-74.0,3.25,0.5,0.46
-74.0,3.25,1.0,0.46
-74.0,3.25,1.5,0.46
-74.0,3.25,2.0,0.46
-74.0,3.75,0.0,0.46
-74.0,3.75,0.5,0.46
-74.0,3.75,1.0,0.46
-74.0,3.75,1.5,0.46
-74.0,3.75,2.0,0.46
-74.0,4.25,0.0,0.46
-74.0,4.25,0.5,0.46
-74.0,4.25,1.0,0.46
-74.0,4.25,1.5,0.46
-74.0,4.25,2.0,0.46
-73.5,-4.25,0.0,0.46
-73.5,-4.25,0.5,0.46
-73.5,-4.25,1.0,0.46
-73.5,-4.25,1.5,0.46
-73.5,-4.25,2.0,0.46
-73.5,-3.75,0.0,0.46
-73.5,-3.75,0.5,0.46
-73.5,-3.75,1.0,0.46
-73.5,-3.75,1.5,0.46
-73.5,-3.75,2.0,0.46
-73.5,-3.25,0.0,0.46
-73.5,-3.25,0.5,0.46
-73.5,-3.25,1.0,0.46
-73.5,-3.25,1.5,0.46
-73.5,-3.25,2.0,0.46
-73.5,-2.75,0.0,0.46
-73.5,-2.75,0.5,0.46
-73.5,-2.75,1.0,0.46
-73.5,-2.75,1.5,0.46
-73.5,-2.75,2.0,0.46
-73.5,-2.25,0.0,0.46
-73.5,-2.25,0.5,0.46
-73.5,-2.25,1.0,0.46
-73.5,-2.25,1.5,0.46
-73.5,-2.25,2.0,0.46
-73.5,-1.75,0.0,0.46
-73.5,-1.75,0.5,0.46
-73.5,-1.75,1.0,0.46
-73.5,-1.75,1.5,0.46
-73.5,-1.75,2.0,0.46
-73.5,-1.25,0.0,0.46
-73.5,-1.25,0.5,0.46
-73.5,-1.25,1.0,0.46
-73.5,-1.25,1.5,0.46
-73.5,-1.25,2.0,0.46
-73.5,-0.75,0.0,0.46
-73.5,-0.75,0.5,0.46
-73.5,-0.75,1.0,0.46
-73.5,-0.75,1.5,0.46
-73.5,-0.75,2.0,0.46
-73.5,0.75,0.0,0.46
-73.5,0.75,0.5,0.46
-73.5,0.75,1.0,0.46
-73.5,0.75,1.5,0.46
-73.5,0.75,2.0,0.46
-73.5,1.25,0.0,0.46
-73.5,1.25,0.5,0.46
-73.5,1.25,1.0,0.46
-73.5,1.25,1.5,0.46
-73.5,1.25,2.0,0.46
-73.5,1.75,0.0,0.46
-73.5,1.75,0.5,0.46
-73.5,1.75,1.0,0.46
-73.5,1.75,1.5,0.46
-73.5,1.75,2.0,0.46
-73.5,2.25,0.0,0.46
-73.5,2.25,0.5,0.46
-73.5,2.25,1.0,0.46
-73.5,2.25,1.5,0.46
-73.5,2.25,2.0,0.46
-73.5,2.75,0.0,0.46
-73.5,2.75,0.5,0.46
-73.5,2.75,1.0,0.46
-73.5,2.75,1.5,0.46
-73.5,2.75,2.0,0.46
-73.5,3.25,0.0,0.46
-73.5,3.25,0.5,0.46
-73.5,3.25,1.0,0.46
-73.5,3.25,1.5,0.46
-73.5,3.25,2.0,0.46
-73.5,3.75,0.0,0.46
-73.5,3.75,0.5,0.46
-73.5,3.75,1.0,0.46
-73.5,3.75,1.5,0.46
-73.5,3.75,2.0,0.46
-73.5,4.25,0.0,0.46
-73.5,4.25,0.5,0.46
-73.5,4.25,1.0,0.46
-73.5,4.25,1.5,0.46
-73.5,4.25,2.0,0.46
-73.0,-4.25,0.0,0.46
-73.0,-4.25,0.5,0.46
-73.0,-4.25,1.0,0.46
-73.0,-4.25,1.5,0.46
-73.0,-4.25,2.0,0.46
-73.0,-3.75,0.0,0.46
-73.0,-3.75,0.5,0.46
-73.0,-3.75,1.0,0.46
-73.0,-3.75,1.5,0.46
-73.0,-3.75,2.0,0.46
-73.0,-3.25,0.0,0.46
-73.0,-3.25,0.5,0.46
-73.0,-3.25,1.0,0.46
-73.0,-3.25,1.5,0.46
-73.0,-3.25,2.0,0.46
-73.0,-2.75,0.0,0.46
-73.0,-2.75,0.5,0.46
-73.0,-2.75,1.0,0.46
-73.0,-2.75,1.5,0.46
-73.0,-2.75,2.0,0.46
-73.0,-2.25,0.0,0.46
-73.0,-2.25,0.5,0.46
-73.0,-2.25,1.0,0.46
-73.0,-2.25,1.5,0.46
-73.0,-2.25,2.0,0.46
-73.0,-1.75,0.0,0.46
-73.0,-1.75,0.5,0.46
-73.0,-1.75,1.0,0.46
-73.0,-1.75,1.5,0.46
-73.0,-1.75,2.0,0.46
-73.0,-1.25,0.0,0.46
-73.0,-1.25,0.5,0.46
-73.0,-1.25,1.0,0.46
-73.0,-1.25,1.5,0.46
-73.0,-1.25,2.0,0.46
-73.0,-0.75,0.0,0.46
-73.0,-0.75,0.5,0.46
-73.0,-0.75,1.0,0.46
-73.0,-0.75,1.5,0.46
-73.0,-0.75,2.0,0.46
-73.0,0.75,0.0,0.46
-73.0,0.75,0.5,0.46
-73.0,0.75,1.0,0.46
-73.0,0.75,1.5,0.46
-73.0,0.75,2.0,0.46
-73.0,1.25,0.0,0.46
-73.0,1.25,0.5,0.46
-73.0,1.25,1.0,0.46
-73.0,1.25,1.5,0.46
-73.0,1.25,2.0,0.46
-73.0,1.75,0.0,0.46
-73.0,1.75,0.5,0.46
-73.0,1.75,1.0,0.46
-73.0,1.75,1.5,0.46
-73.0,1.75,2.0,0.46
-73.0,2.25,0.0,0.46
-73.0,2.25,0.5,0.46
-73.0,2.25,1.0,0.46
-73.0,2.25,1.5,0.46
-73.0,2.25,2.0,0.46
-73.0,2.75,0.0,0.46
-73.0,2.75,0.5,0.46
-73.0,2.75,1.0,0.46
-73.0,2.75,1.5,0.46
-73.0,2.75,2.0,0.46
-73.0,3.25,0.0,0.46
-73.0,3.25,0.5,0.46
-73.0,3.25,1.0,0.46
-73.0,3.25,1.5,0.46
-73.0,3.25,2.0,0.46
-73.0,3.75,0.0,0.46
-73.0,3.75,0.5,0.46
-73.0,3.75,1.0,0.46
-73.0,3.75,1.5,0.46
-73.0,3.75,2.0,0.46
-73.0,4.25,0.0,0.46
-73.0,4.25,0.5,0.46
-73.0,4.25,1.0,0.46
-73.0,4.25,1.5,0.46
-73.0,4.25,2.0,0.46
-72.5,-4.25,0.0,0.46
-72.5,-4.25,0.5,0.46
-72.5,-4.25,1.0,0.46
-72.5,-4.25,1.5,0.46
-72.5,-4.25,2.0,0.46
-72.5,-3.75,0.0,0.46
-72.5,-3.75,0.5,0.46
-72.5,-3.75,1.0,0.46
-72.5,-3.75,1.5,0.46
-72.5,-3.75,2.0,0.46
-72.5,-3.25,0.0,0.46
-72.5,-3.25,0.5,0.46
-72.5,-3.25,1.0,0.46
-72.5,-3.25,1.5,0.46
-72.5,-3.25,2.0,0.46
-72.5,-2.75,0.0,0.46
-72.5,-2.75,0.5,0.46
-72.5,-2.75,1.0,0.46
-72.5,-2.75,1.5,0.46
-72.5,-2.75,2.0,0.46
-72.5,-2.25,0.0,0.46
-72.5,-2.25,0.5,0.46
-72.5,-2.25,1.0,0.46
-72.5,-2.25,1.5,0.46
-72.5,-2.25,2.0,0.46
-72.5,-1.75,0.0,0.46
-72.5,-1.75,0.5,0.46
-72.5,-1.75,1.0,0.46
-72.5,-1.75,1.5,0.46
-72.5,-1.75,2.0,0.46
-72.5,-1.25,0.0,0.46
-72.5,-1.25,0.5,0.46
-72.5,-1.25,1.0,0.46
-72.5,-1.25,1.5,0.46
-72.5,-1.25,2.0,0.46
-72.5,-0.75,0.0,0.46
-72.5,-0.75,0.5,0.46
-72.5,-0.75,1.0,0.46
-72.5,-0.75,1.5,0.46
-72.5,-0.75,2.0,0.46
-72.5,0.75,0.0,0.46
-72.5,0.75,0.5,0.46
-72.5,0.75,1.0,0.46
-72.5,0.75,1.5,0.46
-72.5,0.75,2.0,0.46
-72.5,1.25,0.0,0.46
-72.5,1.25,0.5,0.46
-72.5,1.25,1.0,0.46
-72.5,1.25,1.5,0.46
-72.5,1.25,2.0,0.46
-72.5,1.75,0.0,0.46
-72.5,1.75,0.5,0.46
-72.5,1.75,1.0,0.46
-72.5,1.75,1.5,0.46
-72.5,1.75,2.0,0.46
-72.5,2.25,0.0,0.46
-72.5,2.25,0.5,0.46
-72.5,2.25,1.0,0.46
-72.5,2.25,1.5,0.46
-72.5,2.25,2.0,0.46
-72.5,2.75,0.0,0.46
-72.5,2.75,0.5,0.46
-72.5,2.75,1.0,0.46
-72.5,2.75,1.5,0.46
-72.5,2.75,2.0,0.46
-72.5,3.25,0.0,0.46
-72.5,3.25,0.5,0.46
-72.5,3.25,1.0,0.46
-72.5,3.25,1.5,0.46
-72.5,3.25,2.0,0.46
-72.5,3.75,0.0,0.46
-72.5,3.75,0.5,0.46
-72.5,3.75,1.0,0.46
-72.5,3.75,1.5,0.46
-72.5,3.75,2.0,0.46
-72.5,4.25,0.0,0.46
-72.5,4.25,0.5,0.46
-72.5,4.25,1.0,0.46
-72.5,4.25,1.5,0.46
-72.5,4.25,2.0,0.46
-72.0,-4.25,0.0,0.46
-72.0,-4.25,0.5,0.46
-72.0,-4.25,1.0,0.46
-72.0,-4.25,1.5,0.46
-72.0,-4.25,2.0,0.46
-72.0,-3.75,0.0,0.46
-72.0,-3.75,0.5,0.46
-72.0,-3.75,1.0,0.46
-72.0,-3.75,1.5,0.46
-72.0,-3.75,2.0,0.46
-72.0,-3.25,0.0,0.46
-72.0,-3.25,0.5,0.46
-72.0,-3.25,1.0,0.46
-72.0,-3.25,1.5,0.46
-72.0,-3.25,2.0,0.46
-72.0,-2.75,0.0,0.46
-72.0,-2.75,0.5,0.46
-72.0,-2.75,1.0,0.46
-72.0,-2.75,1.5,0.46
-72.0,-2.75,2.0,0.46
-72.0,-2.25,0.0,0.46
-72.0,-2.25,0.5,0.46
-72.0,-2.25,1.0,0.46
-72.0,-2.25,1.5,0.46
-72.0,-2.25,2.0,0.46
-72.0,-1.75,0.0,0.46
-72.0,-1.75,0.5,0.46
-72.0,-1.75,1.0,0.46
-72.0,-1.75,1.5,0.46
-72.0,-1.75,2.0,0.46
-72.0,-1.25,0.0,0.46
-72.0,-1.25,0.5,0.46
-72.0,-1.25,1.0,0.46
-72.0,-1.25,1.5,0.46
-72.0,-1.25,2.0,0.46
-72.0,-0.75,0.0,0.46
-72.0,-0.75,0.5,0.46
-72.0,-0.75,1.0,0.46
-72.0,-0.75,1.5,0.46
-72.0,-0.75,2.0,0.46
-72.0,0.75,0.0,0.46
-72.0,0.75,0.5,0.46
-72.0,0.75,1.0,0.46
-72.0,0.75,1.5,0.46
-72.0,0.75,2.0,0.46
-72.0,1.25,0.0,0.46
-72.0,1.25,0.5,0.46
-72.0,1.25,1.0,0.46
-72.0,1.25,1.5,0.46
-72.0,1.25,2.0,0.46
-72.0,1.75,0.0,0.46
-72.0,1.75,0.5,0.46
-72.0,1.75,1.0,0.46
-72.0,1.75,1.5,0.46
-72.0,1.75,2.0,0.46
-72.0,2.25,0.0,0.46
-72.0,2.25,0.5,0.46
-72.0,2.25,1.0,0.46
-72.0,2.25,1.5,0.46
-72.0,2.25,2.0,0.46
-72.0,2.75,0.0,0.46
-72.0,2.75,0.5,0.46
-72.0,2.75,1.0,0.46
-72.0,2.75,1.5,0.46
-72.0,2.75,2.0,0.46
-72.0,3.25,0.0,0.46
-72.0,3.25,0.5,0.46
-72.0,3.25,1.0,0.46
-72.0,3.25,1.5,0.46
-72.0,3.25,2.0,0.46
-72.0,3.75,0.0,0.46
-72.0,3.75,0.5,0.46
-72.0,3.75,1.0,0.46
-72.0,3.75,1.5,0.46
-72.0,3.75,2.0,0.46
-72.0,4.25,0.0,0.46
-72.0,4.25,0.5,0.46
-72.0,4.25,1.0,0.46
-72.0,4.25,1.5,0.46
-72.0,4.25,2.0,0.46
-71.5,-4.25,0.0,0.46
-71.5,-4.25,0.5,0.46
-71.5,-4.25,1.0,0.46
-71.5,-4.25,1.5,0.46
-71.5,-4.25,2.0,0.46
-71.5,-3.75,0.0,0.46
-71.5,-3.75,0.5,0.46
-71.5,-3.75,1.0,0.46
-71.5,-3.75,1.5,0.46
-71.5,-3.75,2.0,0.46
-71.5,-3.25,0.0,0.46
-71.5,-3.25,0.5,0.46
-71.5,-3.25,1.0,0.46
-71.5,-3.25,1.5,0.46
-71.5,-3.25,2.0,0.46
-71.5,-2.75,0.0,0.46
-71.5,-2.75,0.5,0.46
-71.5,-2.75,1.0,0.46
-71.5,-2.75,1.5,0.46
-71.5,-2.75,2.0,0.46
-71.5,-2.25,0.0,0.46
-71.5,-2.25,0.5,0.46
-71.5,-2.25,1.0,0.46
-71.5,-2.25,1.5,0.46
-71.5,-2.25,2.0,0.46
-71.5,-1.75,0.0,0.46
-71.5,-1.75,0.5,0.46
-71.5,-1.75,1.0,0.46
-71.5,-1.75,1.5,0.46
-71.5,-1.75,2.0,0.46
-71.5,-1.25,0.0,0.46
-71.5,-1.25,0.5,0.46
-71.5,-1.25,1.0,0.46
-71.5,-1.25,1.5,0.46
-71.5,-1.25,2.0,0.46
-71.5,-0.75,0.0,0.46
-71.5,-0.75,0.5,0.46
-71.5,-0.75,1.0,0.46
-71.5,-0.75,1.5,0.46
-71.5,-0.75,2.0,0.46
-71.5,0.75,0.0,0.46
-71.5,0.75,0.5,0.46
-71.5,0.75,1.0,0.46
-71.5,0.75,1.5,0.46
-71.5,0.75,2.0,0.46
-71.5,1.25,0.0,0.46
-71.5,1.25,0.5,0.46
-71.5,1.25,1.0,0.46
-71.5,1.25,1.5,0.46
-71.5,1.25,2.0,0.46
-71.5,1.75,0.0,0.46
-71.5,1.75,0.5,0.46
-71.5,1.75,1.0,0.46
-71.5,1.75,1.5,0.46
-71.5,1.75,2.0,0.46
-71.5,2.25,0.0,0.46
-71.5,2.25,0.5,0.46
-71.5,2.25,1.0,0.46
-71.5,2.25,1.5,0.46
-71.5,2.25,2.0,0.46
-71.5,2.75,0.0,0.46
-71.5,2.75,0.5,0.46
-71.5,2.75,1.0,0.46
-71.5,2.75,1.5,0.46
-71.5,2.75,2.0,0.46
-71.5,3.25,0.0,0.46
-71.5,3.25,0.5,0.46
-71.5,3.25,1.0,0.46
-71.5,3.25,1.5,0.46
-71.5,3.25,2.0,0.46
-71.5,3.75,0.0,0.46
-71.5,3.75,0.5,0.46
-71.5,3.75,1.0,0.46
-71.5,3.75,1.5,0.46
-71.5,3.75,2.0,0.46
-71.5,4.25,0.0,0.46
-71.5,4.25,0.5,0.46
-71.5,4.25,1.0,0.46
-71.5,4.25,1.5,0.46
-71.5,4.25,2.0,0.46
-71.0,-4.25,0.0,0.46
-71.0,-4.25,0.5,0.46
-71.0,-4.25,1.0,0.46
-71.0,-4.25,1.5,0.46
-71.0,-4.25,2.0,0.46
-71.0,-3.75,0.0,0.46
-71.0,-3.75,0.5,0.46
-71.0,-3.75,1.0,0.46
-71.0,-3.75,1.5,0.46
-71.0,-3.75,2.0,0.46
-71.0,-3.25,0.0,0.46
-71.0,-3.25,0.5,0.46
-71.0,-3.25,1.0,0.46
-71.0,-3.25,1.5,0.46
-71.0,-3.25,2.0,0.46
-71.0,-2.75,0.0,0.46
-71.0,-2.75,0.5,0.46
-71.0,-2.75,1.0,0.46
-71.0,-2.75,1.5,0.46
-71.0,-2.75,2.0,0.46
-71.0,-2.25,0.0,0.46
-71.0,-2.25,0.5,0.46
-71.0,-2.25,1.0,0.46
-71.0,-2.25,1.5,0.46
-71.0,-2.25,2.0,0.46
-71.0,-1.75,0.0,0.46
-71.0,-1.75,0.5,0.46
-71.0,-1.75,1.0,0.46
-71.0,-1.75,1.5,0.46
-71.0,-1.75,2.0,0.46
-71.0,-1.25,0.0,0.46
-71.0,-1.25,0.5,0.46
-71.0,-1.25,1.0,0.46
-71.0,-1.25,1.5,0.46
-71.0,-1.25,2.0,0.46
-71.0,-0.75,0.0,0.46
-71.0,-0.75,0.5,0.46
-71.0,-0.75,1.0,0.46
-71.0,-0.75,1.5,0.46
-71.0,-0.75,2.0,0.46
-71.0,0.75,0.0,0.46
-71.0,0.75,0.5,0.46
-71.0,0.75,1.0,0.46
-71.0,0.75,1.5,0.46
-71.0,0.75,2.0,0.46
-71.0,1.25,0.0,0.46
-71.0,1.25,0.5,0.46
-71.0,1.25,1.0,0.46
-71.0,1.25,1.5,0.46
-71.0,1.25,2.0,0.46
-71.0,1.75,0.0,0.46
-71.0,1.75,0.5,0.46
-71.0,1.75,1.0,0.46
-71.0,1.75,1.5,0.46
-71.0,1.75,2.0,0.46
-71.0,2.25,0.0,0.46
-71.0,2.25,0.5,0.46
-71.0,2.25,1.0,0.46
-71.0,2.25,1.5,0.46
-71.0,2.25,2.0,0.46
-71.0,2.75,0.0,0.46
-71.0,2.75,0.5,0.46
-71.0,2.75,1.0,0.46
-71.0,2.75,1.5,0.46
-71.0,2.75,2.0,0.46
-71.0,3.25,0.0,0.46
-71.0,3.25,0.5,0.46
-71.0,3.25,1.0,0.46
-71.0,3.25,1.5,0.46
-71.0,3.25,2.0,0.46
-71.0,3.75,0.0,0.46
-71.0,3.75,0.5,0.46
-71.0,3.75,1.0,0.46
-71.0,3.75,1.5,0.46
-71.0,3.75,2.0,0.46
-71.0,4.25,0.0,0.46
-71.0,4.25,0.5,0.46
-71.0,4.25,1.0,0.46
-71.0,4.25,1.5,0.46
-71.0,4.25,2.0,0.46
-70.5,-4.25,0.0,0.46
-70.5,-4.25,0.5,0.46
-70.5,-4.25,1.0,0.46
-70.5,-4.25,1.5,0.46
-70.5,-4.25,2.0,0.46
-70.5,-3.75,0.0,0.46
-70.5,-3.75,0.5,0.46
-70.5,-3.75,1.0,0.46
-70.5,-3.75,1.5,0.46
-70.5,-3.75,2.0,0.46
-70.5,-3.25,0.0,0.46
-70.5,-3.25,0.5,0.46
-70.5,-3.25,1.0,0.46
-70.5,-3.25,1.5,0.46
-70.5,-3.25,2.0,0.46
-70.5,-2.75,0.0,0.46
-70.5,-2.75,0.5,0.46
-70.5,-2.75,1.0,0.46
-70.5,-2.75,1.5,0.46
-70.5,-2.75,2.0,0.46
-70.5,-2.25,0.0,0.46
-70.5,-2.25,0.5,0.46
-70.5,-2.25,1.0,0.46
-70.5,-2.25,1.5,0.46
-70.5,-2.25,2.0,0.46
-70.5,-1.75,0.0,0.46
-70.5,-1.75,0.5,0.46
-70.5,-1.75,1.0,0.46
-70.5,-1.75,1.5,0.46
-70.5,-1.75,2.0,0.46
-70.5,-1.25,0.0,0.46
-70.5,-1.25,0.5,0.46
-70.5,-1.25,1.0,0.46
-70.5,-1.25,1.5,0.46
-70.5,-1.25,2.0,0.46
-70.5,-0.75,0.0,0.46
-70.5,-0.75,0.5,0.46
-70.5,-0.75,1.0,0.46
-70.5,-0.75,1.5,0.46
-70.5,-0.75,2.0,0.46
-70.5,0.75,0.0,0.46
-70.5,0.75,0.5,0.46
-70.5,0.75,1.0,0.46
-70.5,0.75,1.5,0.46
-70.5,0.75,2.0,0.46
-70.5,1.25,0.0,0.46
-70.5,1.25,0.5,0.46
-70.5,1.25,1.0,0.46
-70.5,1.25,1.5,0.46
-70.5,1.25,2.0,0.46
-70.5,1.75,0.0,0.46
-70.5,1.75,0.5,0.46
-70.5,1.75,1.0,0.46
-70.5,1.75,1.5,0.46
-70.5,1.75,2.0,0.46
-70.5,2.25,0.0,0.46
-70.5,2.25,0.5,0.46
-70.5,2.25,1.0,0.46
-70.5,2.25,1.5,0.46
-70.5,2.25,2.0,0.46
-70.5,2.75,0.0,0.46
-70.5,2.75,0.5,0.46
-70.5,2.75,1.0,0.46
-70.5,2.75,1.5,0.46
-70.5,2.75,2.0,0.46
-70.5,3.25,0.0,0.46
-70.5,3.25,0.5,0.46
-70.5,3.25,1.0,0.46
-70.5,3.25,1.5,0.46
-70.5,3.25,2.0,0.46
-70.5,3.75,0.0,0.46
-70.5,3.75,0.5,0.46
-70.5,3.75,1.0,0.46
-70.5,3.75,1.5,0.46
-70.5,3.75,2.0,0.46
-70.5,4.25,0.0,0.46
-70.5,4.25,0.5,0.46
-70.5,4.25,1.0,0.46
